Area;Regione;prov;COD_COM;NTN_2017_Uffici;NTN_2017_Negozi_Lab;NTN_2017_Depositi_Comm_Autorimesse;NTN_2017_TCO_B04;NTN_2017_TCO_D02;NTN_2017_TCO_D05;NTN_2017_TCO_D08;NTN_2017_PRO;NTN_2017_AGR
"Sud";"Campania";"SA";"A251";0,000000;1,000000;1,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Centro";"Marche";"AP";"A252";0,000000;2,000000;3,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Sud";"Calabria";"CS";"A253";0,000000;10,670000;6,500000;0,000000;0,000000;0,000000;0,000000;1,000000;0,000000
"Nord Est";"Friuli- Venezia Giulia";"UD";"A254";0,000000;1,000000;3,000000;0,000000;0,000000;0,000000;0,000000;1,000000;0,000000
"Sud";"Calabria";"CZ";"A255";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Centro";"Lazio";"FR";"A256";0,000000;0,000000;7,670000;0,000000;0,000000;0,000000;0,000000;0,000000;1,500000
"Sud";"Calabria";"CZ";"A257";0,000000;2,000000;2,000000;0,000000;0,000000;0,000000;0,000000;1,000000;0,000000
"Centro";"Lazio";"RI";"A258";0,000000;0,000000;1,270000;0,000000;0,000000;0,000000;0,000000;0,000000;0,140000
"Nord Ovest";"Lombardia";"BG";"A259";0,000000;0,000000;3,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Liguria";"SP";"A261";0,000000;0,250000;3,320000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Centro";"Umbria";"TR";"A262";1,000000;4,100000;14,200000;0,000000;0,000000;0,000000;0,000000;5,000000;1,000000
"Sud";"Calabria";"CS";"A263";0,000000;0,000000;7,070000;0,000000;0,000000;0,000000;0,000000;0,000000;1,000000
"Nord Ovest";"Piemonte";"NO";"A264";1,000000;0,000000;3,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Sud";"Campania";"BN";"A265";0,000000;2,000000;0,670000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Est";"Friuli- Venezia Giulia";"UD";"A267";0,000000;0,000000;3,060000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Sud";"Campania";"NA";"A268";0,000000;3,000000;1,250000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Centro";"Lazio";"FR";"A269";3,000000;7,660000;9,550000;0,000000;0,000000;0,000000;3,000000;11,000000;0,000000
"Sud";"Abruzzo ";"TE";"A270";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,500000
"Centro";"Marche";"AN";"A271";23,060000;44,710000;70,620000;8,000000;0,000000;2,000000;24,000000;10,170000;7,000000
"Sud";"Calabria";"CZ";"A272";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Lombardia";"SO";"A273";0,000000;0,000000;2,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Piemonte";"TO";"A275";0,000000;1,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Liguria";"SV";"A278";0,000000;3,000000;3,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Piemonte";"BI";"A280";0,000000;2,000000;4,080000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Sud";"Puglia";"LE";"A281";0,000000;0,000000;4,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Piemonte";"TO";"A282";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Est";"Friuli- Venezia Giulia";"PN";"A283";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Sud";"Campania";"AV";"A284";0,000000;1,000000;6,000000;0,000000;0,000000;0,000000;0,000000;2,000000;0,000000
"Sud";"Puglia";"BA";"A285";4,100000;32,450000;122,210000;0,000000;0,000000;0,000000;1,840000;11,600000;2,000000
"Isole";"Sardegna";"SS";"A287";0,000000;0,000000;1,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Lombardia";"BS";"A288";0,000000;0,000000;0,330000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Lombardia";"VA";"A290";0,000000;3,000000;4,000000;0,000000;0,000000;0,000000;0,000000;5,000000;0,000000
"Centro";"Toscana";"AR";"A291";0,000000;1,000000;8,070000;0,000000;0,000000;0,000000;0,000000;2,000000;0,000000
"Nord Est";"Veneto";"VR";"A292";1,000000;1,000000;1,000000;0,000000;0,000000;0,000000;0,000000;2,000000;0,000000
"Nord Ovest";"Lombardia";"BS";"A293";0,000000;0,330000;3,330000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Sud";"Campania";"SA";"A294";4,000000;20,000000;18,940000;0,000000;0,000000;0,000000;1,000000;2,000000;0,000000
